node,Proportional,Uniform
389,286.7200,380.9823
390,682.5383,1063.2018
391,4197.7914,3457.9023
392,617.1408,923.6031
393,744.1063,848.9159
394,231.6226,443.3963
395,93.7670,322.1535
396,956.0546,1035.3934
397,79.9786,214.2390
398,1223.6260,1358.6224
399,762.2476,964.4740
400,540.2811,715.7737
401,478.1084,619.0202
402,401.7432,610.6528
403,1175.3134,1185.9202
404,44.7876,229.8472
405,587.4686,877.5277
406,32.8788,260.7338
407,133.3105,382.2012
408,671.0542,711.0928
409,3824.5623,3097.9251
410,128.6831,460.3805
411,497.5369,683.5056
412,656.7722,1000.6148
413,359.8925,405.0235
414,75.3664,459.0723
415,394.2444,450.9187
416,475.1392,700.0564
417,701.3190,823.4085
418,223.0010,427.2070
419,1128.0223,1209.2664
420,652.7857,692.3797
421,1070.2409,1298.6257
422,107.9964,228.8066
423,38.8997,382.9235
424,47.3692,291.5180
425,630.6328,890.3421
426,662.4184,750.2717
427,446.0524,563.4105
428,144.1076,473.3304
429,206.2527,506.5140
430,42.9099,168.5865
431,30.5872,153.1452
432,879.9661,1194.3685
433,1416.8583,1768.9150
434,69.6185,443.4639
435,894.6896,1094.4743
436,205.0850,472.8257
437,279.3457,319.2949
438,648.0244,737.2338
439,95.8064,367.2858
440,576.8010,713.5544
441,45.8317,213.8604
442,511.7237,563.0789
443,152.5590,536.0935
444,50.6440,198.7107
445,401.5322,570.6506
446,833.6698,879.3281
447,134.2871,244.0996
448,733.6043,1181.9965
449,318.7334,414.1786
450,680.8720,799.2523
451,3231.8494,3042.8603
452,191.3105,489.1081
453,551.5611,904.9866
454,399.3905,563.9587
455,788.6070,907.5935
456,622.6147,1117.7107
457,579.6343,735.5232
458,400.6868,651.1748
459,277.6541,301.6471
460,541.8503,531.9154
461,369.5419,365.1942
462,385.4944,533.8561
463,686.9011,1136.5222
464,406.3066,848.5250
465,1175.0831,1026.2586
466,558.0572,541.8293
467,545.9280,547.4716
468,1051.5541,863.4608
469,368.4364,1145.9955
470,400.1803,334.0648
471,397.6441,405.9252
472,705.1799,1094.1457
473,2341.2552,2659.7522
474,603.1981,1034.5665
475,552.3115,681.1449
476,615.7960,1103.4067
477,793.6235,1423.9937
478,617.3488,516.0445
479,755.5469,812.0679
480,432.1836,700.9758
481,201.9112,503.9812
482,165.4299,335.7276
483,390.7562,574.9632
484,509.1354,891.2860
485,875.4667,851.1690
486,471.9244,379.0130
487,128.1677,243.8148
488,1216.0151,1188.1850
489,876.7511,1011.2336
490,541.1365,953.1782
491,445.9920,1131.4811
492,1116.8743,1437.4959
493,270.1800,334.8505
494,534.3764,394.3512
495,1103.7997,1852.4678
496,521.8748,514.6041
497,303.7471,488.1364
498,289.8858,380.5517
499,295.1784,334.4271
500,861.8993,1640.1327
501,798.0469,770.6826
502,352.2854,273.2409
503,448.8397,715.9672
504,809.8937,1052.7788
505,561.9652,588.2813
506,680.5546,557.3357
507,942.2365,661.0685
508,1300.5270,832.9246
509,159.6872,238.7457
510,229.3976,243.1048
511,353.8424,463.0763
512,642.4180,614.2262
513,935.3622,1380.2010
514,315.2465,288.5740
515,1074.7564,1906.1112
516,280.9504,181.9430
517,525.8563,624.3793
518,517.6118,625.2989
519,796.4176,707.2693
520,601.1643,493.1376
521,416.0367,426.1290
522,626.8754,1340.1614
523,598.5124,404.8665
524,959.3746,643.5558
525,1219.7843,766.0075
526,467.0326,931.5699
527,818.7398,730.5270
528,511.3614,875.1390
529,312.4362,794.9460
530,352.8939,565.7394
531,218.3044,516.7181
532,2897.9721,1947.4600
533,823.3135,1014.4512
534,329.5638,335.3793
535,385.4227,395.7454
536,2953.4573,1771.5869
537,412.8960,473.0285
538,452.5671,535.0246
539,598.5843,562.0824
540,484.6107,566.3092
541,458.2645,503.4407
542,627.4288,575.3905
543,507.6881,532.6829
544,529.9737,536.8860
545,674.6018,667.7662
546,674.6875,700.5810
547,297.5867,397.9041
548,332.7518,413.7525
549,372.2833,397.2845
550,326.5589,350.9112
551,534.0745,614.1037
552,295.9758,382.4314
553,623.9894,827.7965
554,398.6390,521.3771
555,250.4867,351.0058
556,346.7949,397.9603
557,190.4856,558.0888
558,62.8210,200.9259
559,24.1986,77.2263
560,88.7900,387.0117
561,47.4099,138.8798
562,46.7789,216.5174
563,27.6024,92.6403
564,72.1874,310.1871
565,62.1750,169.6248
566,182.7931,477.3399
567,86.1469,387.3730
568,50.1346,138.8912
569,55.6641,185.0013
570,72.3684,324.2880
571,72.3526,371.3990
572,53.8830,401.8359
573,82.8023,431.8046
574,115.3118,528.5228
575,251.1932,784.8799
576,105.1542,294.1445
577,132.0806,542.4317
578,108.1918,278.3290
579,108.0735,201.2139
580,205.4137,574.5364
581,260.9935,589.2030
582,190.5866,663.8643
583,58.2621,201.0111
584,113.2056,554.7433
585,49.4469,232.1259
586,107.8652,415.2152
587,41.7488,139.0721
588,123.1778,589.6005
589,293.8603,582.8423
590,65.6246,261.6622
591,23.9837,154.6309
592,65.4391,322.6280
593,52.7011,247.6990
594,119.7961,370.2429
595,32.7378,200.8403
596,70.3050,384.9893
597,25.4414,185.6498
598,29.0216,184.4437
599,141.8508,416.0897
600,40.6988,247.3869
601,90.9920,399.8108
602,94.7156,291.0111
603,54.2079,261.0555
604,243.7525,399.4696
605,184.9191,292.0830
606,115.2005,184.3210
607,478.3045,338.3460
608,318.2518,261.8238
609,616.9596,491.4953
610,22424.3782,10937.8062
611,360.0315,338.6796
612,635.4838,614.7470
613,1380.3413,1041.0318
614,1304.5065,1025.6564
615,783.6775,783.9593
616,588.2113,582.9908
617,15075.9395,7797.3542
618,632.1868,677.2109
619,1199.3382,1069.8856
620,826.0804,829.5713
621,6150.1657,3213.9187
622,1070.3161,1057.1576
623,746.4432,640.7326
624,906.5929,870.6326
625,553.3171,598.1326
626,469.3959,551.3955
627,427.5819,491.1619
628,326.9872,353.0049
629,2603.2168,1532.6064
630,160.1308,1031.2174
631,262.5047,995.8132
632,200.3599,1183.9096
633,130.9309,687.7315
634,210.7513,1138.5625
635,67.9917,437.0231
636,78.6682,343.4966
637,47.3591,231.6215
638,367.6245,749.4373
639,84.2707,575.3034
640,126.7717,729.9575
641,63.1037,374.1725
642,97.3463,575.8988
643,772.0747,1249.6781
644,89.1522,576.3436
645,74.2384,526.7463
646,257.4501,733.1164
647,47.2011,339.8038
648,69.3058,620.4580
649,74.7731,586.0462
650,104.6492,683.8257
651,107.1988,479.6426
652,89.3604,404.6018
653,81.0140,373.8194
654,421.0967,888.4484
655,46.7295,356.3708
656,83.4582,295.5324
657,113.0461,555.9025
658,204.9695,661.1305
659,78.3342,496.5651
660,73.6912,372.0596
661,69.7092,309.6431
662,46.5455,201.1698
663,47.2927,248.4160
664,149.6417,692.7193
665,130.8178,466.2875
666,113.9609,432.7915
667,172.6679,653.5290
668,27.8875,108.7122
669,146.4939,801.9704
670,66.9209,232.9188
671,161.5088,510.0330
672,264.7639,778.3787
673,189.8087,774.4795
674,148.3367,573.9053
675,103.1355,388.1108
676,53.5822,508.0601
677,1454.7892,2508.0081
678,86.7551,784.0150
679,170.1844,587.3830
680,133.4445,543.6293
681,161.2349,878.2077
682,194.5990,742.3168
683,197.9360,870.1687
684,240.0095,659.4311
685,181.3252,759.1065
686,270.9443,894.9449
687,175.3970,728.5350
688,484.8367,1067.3289
689,53.3649,294.7413
690,345.4962,1057.2700
691,65.6292,691.5780
692,261.0922,966.1980
693,152.8618,558.7141
694,346.2848,709.4382
695,158.9597,784.6330
696,619.8911,1071.1573
697,468.1139,929.8425
698,108.2110,154.0955
699,603.3932,1258.7569
700,169.7502,323.3247
701,179.1180,401.4820
702,125.1263,844.0909
703,1955.6358,3003.0158
704,245.1688,553.5980
705,41.9584,123.6240
706,156.5773,494.8556
707,217.9814,789.2499
708,416.1288,1240.5683
709,358.3314,991.3273
710,3295.2656,4637.5478
711,281.0839,721.7321
712,199.4104,340.1608
713,1206.6679,2759.6634
714,12.9071,15.4526
715,93.2375,459.6760
716,831.0639,1531.8838
717,106.8768,139.0485
718,1217.8509,2346.8231
719,377.2372,587.0552
720,393.9365,792.8086
721,129.1531,388.0536
722,492.4963,1519.8568
723,839.5320,1771.5156
724,1588.9042,3068.0720
725,615.5278,1674.8700
726,575.2288,943.4397
727,2074.1317,3013.2218
728,1687.0659,2080.8745
729,483.8168,928.4885
730,3053.3516,3400.7257
731,530.1123,1348.8287
732,405.9888,1037.0237
733,1339.6635,1148.8352
734,2896.7639,2886.6440
735,337.7165,1331.4441
736,148.7411,650.4658
737,508.0446,613.0609
738,976.9056,1736.2276
739,865.3144,805.9635
740,103.4467,278.5408
741,166.1856,743.1916
742,1490.4865,1674.0729
743,1139.9106,1503.6972
744,55.9244,139.2468
745,903.8524,1996.7915
746,614.5827,1315.9019
747,1580.4799,1408.3655
748,1159.6751,2135.2143
749,566.0715,1220.9194
750,442.5587,710.4777
751,1176.3187,1789.9682
752,406.7151,308.4058
753,1413.6568,1724.9318
754,1033.9386,1106.4959
755,1976.5827,2684.1106
756,599.5521,856.8681
757,1305.9535,1496.7173
758,2090.6828,3150.9597
760,1210.1800,1957.7361
761,95.4652,213.9150
762,2188.7277,2024.3249
763,1439.2652,2073.1179
764,12.5749,15.2532
765,991.2972,1510.8149
766,30.9795,30.4893
767,75.4437,294.3339
768,6209.4429,3494.2729
769,6998.7880,4133.8715
770,2548.4567,1817.9640
771,1441.5264,1042.2301
772,2533.4005,1764.0915
773,1120.6437,900.1185
774,717.3897,656.7352
775,1557.4972,1519.2532
776,1486.4324,1485.7525
777,551.2817,481.3466
778,1979.2193,1604.7214
779,2743.3921,1812.2135
780,1557.8731,1756.3006
781,675.7461,590.8440
782,1830.1272,1857.7972
783,298.9713,295.2244
784,383.8994,373.5638
785,623.8922,558.6622
786,733.1723,894.4126
787,321.1036,310.6888
788,869.3122,919.3971
789,5741.2639,2917.1832
790,605.5728,637.6585
791,1024.0399,882.9489
792,2657.6044,2955.4452
793,324.3575,278.5791
794,782.1295,539.1364
795,532.5090,463.6987
796,567.1666,493.6687
797,1923.3160,2212.8328
798,327.1861,309.8997
799,327.2845,293.9552
800,976.9634,1040.7598
801,633.5585,752.4262
802,475.2899,548.9907
803,333.1169,310.1866
804,337.7826,294.3272
805,146.0591,172.4313
806,838.5267,955.5524
807,482.4776,447.4620
808,844.4483,1098.6585
809,884.6498,819.4799
810,533.0155,527.5369
811,378.3355,354.5632
812,1084.9358,1330.7888
813,1272.0314,1806.9294
814,1128.2019,1411.0747
815,672.3001,663.1171
816,740.6604,823.5509
817,727.2345,696.8703
818,973.4560,1201.7020
819,1131.0794,1501.1964
820,709.9004,794.0737
821,247.2440,248.2249
822,631.0680,748.3322
823,725.9208,771.3687
824,1050.3201,1396.8834
825,828.8043,1108.7040
826,253.6756,279.5924
827,418.4468,466.5504
828,206.1091,217.1049
829,543.2150,722.7038
830,416.5206,433.6405
831,313.9497,327.0090
832,614.1239,664.8283
833,252.2704,294.9657
834,680.2670,724.7548
835,516.8676,706.9663
836,264.7521,342.3863
837,1172.5243,1550.0944
838,211.1767,248.2853
839,193.9535,217.0489
840,330.6827,402.5246
841,386.9336,497.3714
842,641.5881,887.8955
843,591.5880,679.8060
844,334.9433,345.6404
845,249.2925,294.4350
846,656.5220,890.9100
847,580.0004,675.8498
848,274.8050,372.6213
849,973.6913,1207.9627
850,640.2881,753.9030
851,239.0361,279.2469
852,537.1708,782.1140
853,236.3984,247.8014
854,1141.9086,1685.8724
855,329.8949,386.5227
856,680.7407,799.2935
857,381.4140,544.0928
858,211.3261,216.7494
859,217.7245,297.5422
860,549.2680,568.6753
861,465.4606,502.1155
862,401.3856,508.8988
863,693.7443,887.7843
864,371.0848,418.6403
865,405.9507,533.7889
866,285.8118,360.0775
867,490.1566,600.2038
868,255.8652,309.3911
869,92.7884,123.3180
870,368.6412,454.4987
871,157.1659,200.6949
872,47.7682,61.7155
873,234.4573,311.0787
874,443.1649,621.0119
875,227.2707,262.5461
876,355.8872,415.8525
877,228.3608,246.8244
878,354.8004,463.8635
879,284.3520,420.0694
880,395.0898,470.3049
881,660.5994,969.3943
882,295.2580,375.6803
883,459.4954,650.9693
884,222.0185,297.6190
885,1224.5746,1668.4684
886,482.3617,652.4986
887,318.3647,417.8809
888,239.6336,250.7426
889,278.2925,376.3319
890,320.1717,493.5275
891,564.6644,762.4408
892,475.9564,626.3007
893,379.3459,507.8800
894,433.6762,664.3339
895,112.1773,169.3707
896,550.1650,656.8197
897,263.6758,418.6799
898,386.6417,541.4423
899,408.3528,461.0928
900,211.9771,340.7899
901,737.8025,1201.6408
902,299.7843,468.6602
903,393.2904,446.2041
904,252.2955,385.3778
905,606.7504,869.1319
906,885.2112,1478.4447
907,654.0764,1063.6747
908,377.1580,586.3471
909,322.0096,562.2832
910,372.0362,603.9768
911,338.5926,509.3885
912,289.4347,479.4271
913,230.4719,355.3682
914,706.9145,846.7776
915,221.6126,434.4227
916,323.6558,543.8504
917,326.1434,577.8779
918,410.9300,779.9072
919,107.6200,201.8441
920,125.2422,217.0558
921,940.0301,1479.6615
922,272.2175,511.0005
923,786.2639,1486.4742
924,115.0384,170.5238
925,172.9744,279.3121
926,311.1502,543.8541
927,212.4327,369.3507
928,285.4556,593.2231
929,577.1351,848.0900
930,496.4546,700.0460
931,724.5794,1128.4606
