node,Proportional,Uniform
1164,874.9450,1004.2000
1165,405.2411,458.0994
1166,153.7023,177.2838
1167,750.7967,856.7585
1168,363.6295,413.7384
1169,374.7579,428.4807
1170,944.1873,1075.4845
1171,661.4975,693.5789
1172,559.6405,619.2400
1173,405.7831,442.5579
1174,1151.7393,1282.8696
1175,3930.9525,4373.6445
1176,1537.3049,1667.2834
1177,945.1634,1018.4976
1178,371.7244,398.4533
1179,472.5537,501.6288
1180,3011.6479,3301.8992
1181,1459.5016,1578.1043
1182,1135.1219,1268.8925
1183,982.3030,1077.3635
1184,452.6034,486.9588
1185,576.2939,619.6600
1186,3338.0905,3631.7567
1187,1479.0952,1607.7831
1188,1299.0925,1400.9998
1189,3065.4916,3341.1853
1190,3254.5292,3493.1945
1191,2476.2089,2756.5942
1192,2687.5890,2916.0646
1194,2982.3078,3227.1597
1195,1025.0354,1208.7339
1196,1115.2253,1254.0319
1197,785.7901,856.7523
1198,1365.8121,1446.6121
1199,1040.6153,1092.7056
1200,378.9727,442.1279
1201,441.3162,472.7436
1202,279.5588,295.3858
1203,401.2538,428.3606
1204,392.5380,427.6699
1205,423.3934,442.5979
1206,871.9850,930.6830
1207,838.8479,871.2765
1208,845.0998,900.9479
1209,534.0111,561.2498
1210,1330.8730,1402.3022
1211,729.3664,767.9013
1212,776.0721,856.4273
1213,696.1731,753.0382
1214,756.7879,812.0336
1215,707.0595,767.7881
1216,529.8871,590.4628
1217,502.9514,560.8508
1218,691.8931,767.5900
1219,939.3680,1016.0225
1220,606.3187,662.2348
1221,840.5677,897.0739
1222,730.6290,778.4363
1223,844.8446,910.9573
1224,926.9559,1029.3027
1226,791.8219,866.0279
1227,2517.9425,2679.8646
1228,2343.3697,2618.1003
1229,974.3507,1087.8953
1230,1375.6457,1456.4099
1231,2018.2101,2164.2910
1232,1432.3926,1545.2694
1233,1184.0384,1277.5142
1234,704.0036,762.6292
1235,1621.5955,1703.6392
1236,289.2824,308.0591
1237,2281.2684,2289.8012
1238,2400.4981,2289.4144
1239,1167.8356,1158.9976
1240,745.1306,747.8482
1241,2211.7079,2459.0903
1242,1315.8468,1304.2650
1244,1771.2401,2046.5085
1250,12.1277,14.1017
1251,594.3343,450.9727
1253,11596.3469,10255.5209
1254,2941.4512,2830.2246
1257,12205.2151,10115.6920
1258,5177.4251,4345.8326
1259,2088.0567,1805.4102
1260,1047.0210,920.6011
1261,2851.6868,2523.0634
1262,7344.7901,6389.9106
1265,3419.1174,3292.3095
1266,2948.1208,2746.0409
1267,3328.4339,3069.4190
1268,1886.8482,1797.1900
1269,1620.8136,1524.5347
1270,724.4083,668.2136
1271,533.6697,494.2633
1272,1279.5315,1218.6138
1273,3765.9100,3552.2577
1274,4763.4927,4444.8836
1275,4515.8475,4225.3436
1277,2974.8574,2864.9808
1278,1188.0907,1136.4698
1279,290.2166,291.8380
1280,1692.9051,1558.2817
1281,2003.4168,1877.5671
1282,1706.3966,1587.5912
1283,892.4488,845.8963
1284,518.8761,496.2669
1285,3292.4291,3039.1658
1286,441.0678,435.4125
1287,895.5615,869.0519
1288,1408.1028,1355.5711
1289,1945.8294,1905.2007
1290,664.1950,650.9981
1291,2783.1195,2764.3653
1292,1121.3842,1133.5034
1293,381.7058,392.9355
1294,558.8481,568.1470
1295,1217.3338,1196.4433
1296,1369.9089,1400.0363
1297,1286.6136,1310.3040
1298,716.1275,726.0330
1299,1233.4542,1270.1121
1300,1145.3148,1166.6492
1301,1063.0383,1091.2297
1302,374.9297,378.8326
1303,260.5564,262.8190
1304,305.3129,306.1661
1305,587.9701,554.2598
1306,1125.3365,1080.5049
1307,1065.9453,1052.2354
1308,453.1205,409.3609
1309,789.8227,716.4831
1310,994.1893,919.1028
1311,1712.7991,1546.2033
1312,1790.3486,1855.1075
1313,1616.9146,1524.3076
1314,1034.2520,960.0982
1315,205.7765,203.9699
1316,676.5696,654.9573
1317,325.7814,320.6176
1318,352.6904,349.3989
1319,189.1434,189.2601
1320,333.1128,334.5604
1321,775.9832,755.8511
1322,546.4832,522.9940
1323,1008.8338,971.9263
1324,589.3531,551.1005
1325,296.1060,275.3438
1326,730.8418,680.1544
1327,1502.6324,1375.6850
1328,394.3476,390.4416
1329,698.0065,680.5887
1330,978.8847,956.8692
1331,797.4582,797.8208
1332,808.9683,811.9169
1333,1548.0724,1533.9489
1334,1566.8640,1573.4525
1335,836.9811,835.1902
1336,1921.6543,1966.8194
1337,1148.1900,1189.0031
1338,803.8683,814.1928
1339,993.0368,1021.2103
1341,2610.2052,2512.2075
1342,1244.7064,1146.9984
1343,491.7125,453.6356
1344,1270.9576,1185.8891
1345,968.5947,938.0625
1346,916.7515,879.3640
1347,1243.7835,1229.0526
1348,472.7002,467.9897
1349,830.6556,790.6185
1350,516.6016,483.3951
1351,698.4569,674.3382
1352,576.3964,542.7000
1353,386.2527,381.7577
1354,520.0558,528.8311
1355,1005.2667,1043.4404
1356,893.9665,926.3060
1357,802.0777,805.0095
1358,1336.7448,1347.3295
1359,898.7484,864.8374
1360,383.2907,366.8276
1361,655.6913,631.1616
1362,228.1777,220.1796
1363,346.9407,337.7373
1364,216.7194,220.3192
1365,405.4151,411.3902
1366,316.4400,323.3179
1367,786.3475,823.4289
1368,1809.0795,1821.5660
1369,1309.5227,1367.7484
1370,1060.7033,1041.9097
1371,540.7896,543.0667
1372,3716.4053,3968.8649
1373,397.0024,380.0813
1374,231.3716,219.1731
1375,1637.1511,1622.7101
1376,1936.2769,1975.6732
1377,1310.3436,1332.4023
1378,950.1329,981.2856
1379,850.9966,879.5183
1380,242.1170,249.5808
1381,316.5024,337.5324
1382,432.6355,469.8094
1383,1371.7238,1451.7382
1384,150.1402,161.4262
1385,463.7918,484.7412
1386,359.3253,381.8430
1387,1030.6182,1087.7919
1388,487.5762,528.9464
1389,2676.3597,2898.6533
1390,869.0187,818.1908
1391,717.1588,672.7122
1392,1426.2454,1374.6932
1393,733.4806,746.2812
1394,823.1945,819.9357
1395,288.1814,293.0189
1396,2075.8894,2058.6818
1397,465.3672,469.0797
1398,432.8685,440.0838
1400,870.2495,879.2000
1401,383.8684,396.1035
1402,562.2718,572.6737
1403,581.8519,601.5524
1404,483.7620,499.2021
1405,288.5594,308.3512
1406,1005.8107,1088.1614
1407,1443.1343,1586.7000
1408,835.4697,894.5234
1409,178.6688,176.0476
1410,577.2634,571.9856
1411,705.1355,671.8475
1412,856.7593,863.5602
1413,203.1522,204.7511
1414,630.4190,643.6029
1415,664.9234,672.0341
1416,414.5005,423.3502
1417,701.4558,728.7310
1418,1422.4611,1484.2384
1419,1059.6636,1118.1460
1420,177.5232,188.4965
1421,727.6962,770.3942
1422,1547.7718,1632.1552
1423,903.5334,921.2965
1424,513.8312,533.8515
1425,942.7445,982.7652
1426,1329.5710,1337.2478
1427,572.8793,576.4557
1428,255.1595,259.8535
1429,590.1148,607.1252
1430,1534.5075,1581.7250
1431,1155.4138,1163.7340
1432,1901.6905,1921.2113
1433,572.5329,597.2843
1434,1008.2913,1036.8610
1435,978.0786,981.8800
1436,1156.5283,1232.8149
1437,1374.0857,1453.2878
1438,1427.3879,1452.8113
1439,606.2243,645.2674
1440,1183.8617,1213.4888
1441,196.6214,204.8027
1442,699.9591,730.3678
1443,811.3549,838.3260
1444,745.9094,763.8507
1445,1135.2838,1168.6583
1446,1122.9958,1139.6030
1447,758.0205,760.3869
1448,1370.1305,1392.8269
1449,1048.5154,1010.9242
1450,853.2740,924.6171
1451,227.2194,219.6081
1452,492.8010,468.3807
1453,689.2994,643.4428
1454,684.4988,701.2612
1455,371.1777,379.3102
1456,1161.2991,1181.6195
1457,736.9007,757.6773
1458,1523.4835,1571.1850
1459,1213.5559,1277.6339
1460,758.8145,811.3624
1461,1064.9520,1129.1094
1462,933.0974,986.2465
1463,864.9974,886.0827
1464,1947.1739,2000.9401
1465,575.0822,611.1319
1466,527.8942,524.0204
1467,142.7725,145.7799
1468,882.5355,904.7268
1469,323.1182,306.4147
1470,372.1357,364.2880
1471,748.3095,743.7929
1472,1382.6163,1513.1299
1473,340.4273,351.7477
1474,409.3685,409.9276
1475,498.6836,512.8846
1476,993.2576,1024.2407
1477,422.4946,424.2419
1478,335.0184,336.2685
1479,746.4178,730.4500
1480,144.0613,144.3204
1481,99.8734,100.9773
1482,843.4747,868.6709
1483,376.6427,390.9670
1484,202.2420,217.6048
1485,4193.0628,4587.8431
1486,695.5656,740.2474
1487,614.1317,638.0972
1488,880.8960,930.1816
1489,2744.6590,2840.0336
1490,1875.8745,1837.6791
1491,970.0119,978.0709
1492,420.8070,438.6701
1493,409.9986,424.5810
1494,928.9944,952.2337
1495,308.1469,322.2981
1496,438.2480,454.4457
1497,2675.4880,2779.8926
1498,2254.5243,2438.4292
1499,2119.2627,2172.6941
1500,2318.0357,2508.0611
1502,1465.6095,1754.5694
1503,352.3524,422.1572
1505,576.7100,647.0960
1506,286.9041,357.2835
1507,138.9074,172.7109
1508,877.3166,927.0436
1509,105.3905,129.9228
1510,515.6887,613.5675
1511,1163.5691,1376.5410
1512,283.1272,287.6526
1513,2261.4559,2351.5521
1514,83.7703,87.1614
